id,activities_id,height_id,sky_id,observer_id,timestamp,address_country,address_state,location,see_aurora,sky_other,time_start,time_end,on_going,height_other,activities_other,colors_other,types_other,comment,image,st_y,st_x,colors,types
605,quie,n,,511,2015-01-13 00:37:25.638572+00,Canada,AB,0101000020E61000009917F47EE64C5CC02793C30BD9324A40,t,,2015-01-11 07:45:00+00,2015-01-13 00:45:00+00,f,,,,,,y,52.39724872,-113.2015684,gree,glow
601,,,clea,744,2015-01-11 14:59:50.396428+00,Canada,AB,0101000020E6100000F1E5499014625CC08F04EDD3AEC34A40,f,,2015-01-11 14:45:00+00,2015-01-11 15:00:00+00,f,,,,,,n,53.52877282,-113.5325051,,
603,,,,748,2015-01-12 07:08:50.775625+00,Canada,AB,0101000020E61000009D14614723E75CC08A6EEC3909944940,t,,2015-01-12 07:00:00+00,2015-01-12 07:15:00+00,f,,,,,,n,51.15653156,-115.6115282,,
604,quie,n,,358,2015-01-12 11:48:43.489264+00,United States,AK,0101000020E6100000086E96E068B862C03CD34FF9E3904E40,t,,2015-01-12 11:45:00+00,2015-01-12 12:00:00+00,t,,,,,,n,61.13195721,-149.7628024,gree,arcs
607,very,whol,,682,2015-01-13 02:50:11.356141+00,United States,AK,0101000020E6100000C694BEA587B062C0DAA06CBCB40B5040,t,,2015-01-13 02:45:00+00,2015-01-13 03:00:00+00,t,,,Yellow ,,,n,64.18290625,-149.5165585,"red, whit, gree","glow, arcs, patc"
609,quie,n45,,,2015-01-14 12:50:29.25888+00,United States,AK,0101000020E6100000B9AECCDF08BB62C016CA65D34BCF4E40,t,,2015-01-14 12:45:00+00,2015-01-14 13:00:00+00,t,,,,,,n,61.61950152,-149.8448333,gree,glow
610,quie,n45,,726,2015-01-15 14:22:30.195683+00,United States,AK,0101000020E61000000EEF8E8061BA62C0336FBE5573D04E40,t,,2015-01-15 14:15:00+00,2015-01-15 14:30:00+00,t,,,,,,y,61.62851974,-149.8244021,gree,glow
611,,,clea,709,2015-01-18 16:51:32.335952+00,Finland,,0101000020E61000000B94E254ED2738408AECBBE6A5E55040,f,,2015-01-18 16:45:00+00,2015-01-18 17:00:00+00,f,,,,,,n,67.58825081,24.15596514,,
613,acti,n45,,709,2015-01-18 20:49:50.188742+00,Finland,,0101000020E61000009383649E5524384087F954E57EE65040,t,,2015-01-18 20:00:00+00,2015-01-18 20:45:00+00,f,,,,,,n,67.60149511,24.14193144,gree,"glow, arcs, patc"
614,,,,,2015-01-18 21:05:13.332951+00,Finnland,,0101000020E6100000113135EBD5643B40D2D1341BEB195140,t,,2015-01-18 21:00:00+00,2015-01-18 21:15:00+00,f,,,,,,n,68.40497475,27.39388914,gree,
615,,,,,2015-01-18 21:52:32.328588+00,Islandia,,0101000020E6100000CA27767A751033C07F223A96F23C5040,t,,2015-01-18 21:45:00+00,2015-01-18 22:00:00+00,f,,,,,,n,64.95230632,-19.06429258,,
616,acti,n45,,,2015-01-18 22:11:04.700254+00,Finland,,0101000020E61000008B27525CBB643B40EC20C7A89C1A5140,t,,2015-01-18 22:00:00+00,2015-01-18 22:15:00+00,t,,,,,,n,68.41581172,27.3934839,"gree, pink","glow, arcs, patc"
618,quie,n,,595,2015-01-20 20:54:37.088009+00,Schweden,Norrbottens l_ùn,0101000020E6100000BD58575EC5543340A35CD6EDB75C5040,t,,2015-01-18 22:30:00+00,2015-01-19 00:00:00+00,f,,,,,,y,65.44872614,19.3311366,gree,glow
619,,n,,358,2015-01-21 10:34:48.101971+00,United States,AK,0101000020E610000055015B559FC162C0DEB52CB018994E40,t,,2015-01-21 10:30:00+00,2015-01-21 12:15:00+00,t,,,,,,n,61.19606592,-150.0506999,gree,"glow, arcs"
620,,n,,358,2015-01-21 13:35:17.63204+00,United States,AK,0101000020E6100000B0A91A3CF6C062C09C0D54BED3974E40,t,,2015-01-21 13:30:00+00,2015-01-21 13:45:00+00,t,,,,,,n,61.1861494,-150.030058,gree,arcs
621,,,clea,709,2015-01-21 15:57:29.249195+00,Finland,,0101000020E61000003680AD4D87203840258B7A86F5E55040,f,,2015-01-21 15:30:00+00,2015-01-21 15:45:00+00,f,,,,,We received an alert for coloured northern lights in lapland. Not yet seen.,n,67.59311068,24.12706457,,
623,,n45,,773,2015-01-21 19:04:09.508107+00,Finland,,0101000020E6100000C16C44D815493B403B7A16F919145140,t,,2015-01-21 16:15:00+00,2015-01-21 18:00:00+00,t,,,Purple,,,n,68.31408527,27.28548958,"whit, gree",arcs
627,acti,whol,,,2015-01-21 21:42:57.905674+00,Finland,,0101000020E6100000D64F35BEF8823B403823F57D9A295140,t,,2015-01-21 17:00:00+00,2015-01-21 19:00:00+00,f,,,,,,y,68.65005444,27.51160802,"whit, gree","glow, arcs"
625,,,,,2015-01-21 19:41:27.112344+00,Finnland,,0101000020E6100000084227DB56613B408665EBF56A1A5140,t,,2015-01-21 17:15:00+00,2015-01-21 18:30:00+00,f,,,,,,n,68.41277836,27.38023157,gree,arcs
622,quie,s45,,709,2015-01-21 17:57:51.769468+00,Finland,,0101000020E61000001F238ED1F81E3840AFB721BFAAE55040,t,,2015-01-21 17:30:00+00,2015-01-21 18:00:00+00,f,,,,,,n,67.58854655,24.12098417,"red, gree","glow, arcs"
624,quie,n,,,2015-01-21 19:05:26.487713+00,Norway,Nordland,0101000020E6100000279A85EA70A02B4030CB6FD750075140,t,,2015-01-21 17:30:00+00,2015-01-21 19:15:00+00,f,,,,,,n,68.11430918,13.81336148,gree,arcs
626,quie,n45,,,2015-01-21 20:39:47.722683+00,Suecia,Norrbottens l_ùn,0101000020E6100000B88FECE7218C3440923F9A54AAF45040,t,,2015-01-21 19:00:00+00,2015-01-21 20:00:00+00,f,,,,,,n,67.82289615,20.54739236,whit,arcs
628,,,,,2015-01-21 22:13:17.822714+00,Finnland,,0101000020E6100000FC8AAD6513683B40F3CADF1FEC195140,t,,2015-01-21 22:00:00+00,2015-01-21 22:15:00+00,t,,,,,,n,68.4050369,27.40654598,gree,arcs
629,,n,,358,2015-01-22 10:59:25.148838+00,United States,AK,0101000020E610000015A1F0AE20C262C0F396D7E8D7984E40,t,,2015-01-22 10:45:00+00,2015-01-22 11:00:00+00,t,,,,,,n,61.19408904,-150.0664897,gree,"glow, arcs"
630,,n45,,358,2015-01-22 14:01:33.866027+00,United States,AK,0101000020E6100000ADF61C839CB762C0362D7290AF924E40,t,,2015-01-22 13:45:00+00,2015-01-22 14:15:00+00,t,,,,,,y,61.1459828,-149.7378555,gree,"arcs, glow"
631,,n,,773,2015-01-22 20:05:22.972182+00,Finland,,0101000020E610000014786137C5FD3A40803E9ED9E5395140,t,,2015-01-22 19:00:00+00,2015-01-22 19:45:00+00,f,,,,,,n,68.90465393,26.99129053,"red, gree",arcs
642,acti,over,,,2015-01-27 14:39:52.853593+00,Islandia,,0101000020E6100000A2A8DD24610A33C0A90CD97D5B3D5040,t,,2015-01-25 14:30:00+00,2015-01-27 10:30:00+00,f,,,,,,y,64.9587092,-19.0405448,"red, gree",glow
633,acti,n45,,,2015-01-25 20:25:58.320256+00,Finlandia,,0101000020E610000090649CEF7BB03940102045FA249F5040,t,,2015-01-25 21:00:00+00,2015-01-25 22:00:00+00,f,,,,,,n,66.48663193,25.68939111,gree,arcs
634,quie,over,,,2015-01-26 08:05:09.273166+00,United States,AK,0101000020E6100000519D2FA5D87062C02A71FCB1E1475040,t,,2015-01-26 08:00:00+00,2015-01-26 08:15:00+00,f,,,,,Getting ready for a great event...,n,65.12315035,-147.526446,"red, gree",arcs
635,very,over,,,2015-01-26 08:49:58.394573+00,United States,AK,0101000020E6100000048BDCB9D66F62C0387F3E4C30475040,t,,2015-01-26 08:30:00+00,2015-01-26 08:45:00+00,f,,,,,Nice breakup just north of Poker,n,65.11232287,-147.4949617,"red, gree, pink",arcs
636,acti,over,,358,2015-01-26 09:48:17.588693+00,United States,AK,0101000020E61000007AED0BBC42B662C04B9C3C3E42804E40,t,,2015-01-26 09:15:00+00,2015-01-26 10:00:00+00,t,,,,,,n,61.00202158,-149.6956463,"whit, gree","glow, arcs"
