"verified_type, twitter id, observation id",text,user_screen_name,st_y,st_x,location_full_name,location_country,created_at,Total Votes,Score
"(pos,682797933759049729,682797933759049729)",Watching the aurora at Elk Island on New Year's seems weirdly fitting.,BioMaryKirby,53.77146533,-112.9857522,"Elk Island, 01",Canada,2016-01-01 05:38:07+00,2,2
"(pos,682798134120955904,682798134120955904)",Pillars with reds Central Alberta now!! #Aurora #teamtanner @treetanner @AuroraNotify @TamithaSkov @eljakeo30 https://t.co/CTMgeqzS1l,dartanner,52.278508,-117.4937366,"Alberta, 01",Canada,2016-01-01 05:38:55+00,2,2
"(pos,682800746719358978,682800746719358978)",Aurora still going crazy on Montana/Saskatchewan at Grasslands Park in Canada! https://t.co/as8Py0xByl,eljakeo30,60.09216356,-113.6605247,"Canada, 00",Canada,2016-01-01 05:49:18+00,2,2
"(pos,682804961336426496,682804961336426496)",VIDEO: #NYE2016 fireworks display in Anchorage had a faint backdrop of #NorthernLights. https://t.co/upWegRSxig https://t.co/9oLrOuqiNr,ktva,61.2100654,-149.9172286,"Anchorage, AK",United States,2016-01-01 06:06:03+00,2,2
"(pos,682805690583224320,682805690583224320)",It's moving more SE Central Alberta now! #wx #Aurora #teamtanner @treetanner @TamithaSkov @AuroraNotify @AuroraMAX https://t.co/eBw4ATzsJ6,dartanner,52.26414989,-117.4787344,"Alberta, 01",Canada,2016-01-01 06:08:57+00,2,2
"(pos,682806485324140544,682806485324140544)",@TamithaSkov Aurora out over North Idaho. Faint glow to the eye. Really nice in the camera. #aurora https://t.co/MzkkTIVwDT,3dmapmaker,44.48531026,-114.2792515,"Idaho, ID",United States,2016-01-01 06:12:06+00,2,2
"(pos,682827831194206208,682827831194206208)",#aurora to bring in the new year! Can see it even as far south as Qualicum Beach on Vancouver Island. https://t.co/9APJRvewVR,ashtonreimer,49.34790092,-124.4690103,"Qualicum Beach, 02",Canada,2016-01-01 07:36:55+00,2,2
"(pos,682873918063955968,682873918063955968)",Happy New Year! #2016 #nye #alaska #fairbanks #aurora #northernlights #veuveclicquot @ Chena River https://t.co/CsNB3LWKlA,meadowbailey,64.82494976,-147.7731724,"Fairbanks, AK",United States,2016-01-01 10:40:03+00,2,2
"(pos,683154214978109441,683154214978109441)","AURORAMAX ALERT __Æ An #aurora is now visible above #Yellowknife, Northwest Territories! Check it out: https://t.co/kMY960Gm4S",AuroraMAX,62.43504111,-114.4038576,"Yellowknife, 13",Canada,2016-01-02 05:13:51+00,2,2
"(pos,683431497588707328,683431497588707328)","Aurora tonight , magic #norway https://t.co/VycBlb7TKI",tryfan03,61.98996409,9.996142998,"Kingdom of Norway, 00",Norway,2016-01-02 23:35:41+00,2,2
"(pos,683802534805307392,683802534805307392)",Second night in Abisko and the aurora appeared more active and__° https://t.co/bmyVMydvEU,mssyaza,68.30618344,18.6312115,"Kiruna, Sverige",Sverige,2016-01-04 00:10:03+00,2,2
"(pos,683821006360842240,683821006360842240)",Check out the #NorthernLights in #Iceland •___ #bucketlist ____îè https://t.co/y6carmi051,BrittanyWMN,64.98466742,-18.03242083,"Republic of Iceland, 00",Iceland,2016-01-04 01:23:27+00,2,2
"(pos,684115503829352452,684115503829352452)","Great to see the sky with #AuroraBorealis over #Reykjavik , always cool to see . #iceland #nature @stephenfry rt https://t.co/qLXtPX11Xw",dorisig,64.12538019,-21.91376938,"Reykjav_—k, 39",Iceland,2016-01-04 20:53:41+00,2,2
"(pos,684471847518339073,684471847518339073)",Went hunting for the #northernlights and found 'em! Perfect night in Finnish #Lapland. #travel https://t.co/HxvOi1Vh50,shanthibenjamin,67.74820087,26.49522299,"Lappi, 19",Finland,2016-01-05 20:29:39+00,2,2
"(pos,684575649516883969,684575649516883969)",There's #aurora about now. On Shawbost shore #Isleoflewis #OuterHebrides #Scotland https://t.co/z5l71BxLqD,CallanishDD,55.9983988,-4.014502971,"Scotland, SCT",United Kingdom,2016-01-06 03:22:08+00,2,2
"(pos,684831487120785408,684831487120785408)",Just saw the #aurora in #oslo. magic.,thisisbolly,59.89933589,10.71911478,"Oslo, 12",Norway,2016-01-06 20:18:44+00,2,2
"(pos,684996103092109312,684996103092109312)",Epic Aurora forming in Whitehorse over whistlebend basically!! •___•___•___•___,BenRyanYukon,60.71046384,-135.0890554,"Whitehorse, 12",Canada,2016-01-07 07:12:52+00,2,2
"(pos,685058866866982912,685058866866982912)",Our sleep schedules are gonna be so messed up bc of the #auroraborealis. #northernlights__° https://t.co/yit33siYsF,Bariscos,65.02454922,-147.478567,"Alaska, USA",United States,2016-01-07 11:22:16+00,2,2
"(pos,685227214028324864,685227214028324864)",@NorthLightAlert right now very nice skye over the city of #Tromso #NorthernLights #auroraborealis https://t.co/xtxzTHBstj,MartinP140387,69.64119979,18.89579232,"Troms_î, 18",Norway,2016-01-07 22:31:13+00,2,2
"(pos,685230112804106241,685230112804106241)",Aurora Borealis right now just north west of Reykjavik! Started 15min ago! Watching it live! #northenlights #auroraborealis #Reykjavik,drazenlucic,64.12703158,-21.90473888,"Reykjav_—k, 39",Iceland,2016-01-07 22:42:44+00,2,2
"(pos,685972474115284993,685972474115284993)","It is midnight here in #Iceland. For the last hour, there have been breathtaking #NorthernLights - first slow and then really taking off.",hipparqos,63.9849905,-20.96928325,Iceland,_çsland,2016-01-09 23:52:37+00,2,2
"(pos,686000139199201282,686000139199201282)",Just saw the #NorthernLights over Thingvellir! It was so pretty!! #Iceland,gunelxx,64.99224797,-18.04370982,"Republic of Iceland, 00",Iceland,2016-01-10 01:42:33+00,2,2
"(pos,686634693412827136,686634693412827136)",What I just witnessed cannot be explained. It MUST be experienced. #NorthernLights #Troms_î__° https://t.co/du2NnwhGs3,jfox1030,69.65272454,18.92204577,"Troms_î, Norge",Norge,2016-01-11 19:44:02+00,2,2
"(pos,686635665514196996,686635665514196996)",Northern Lights over Malangen Norway#northernlights #malangen #norway #europe #nature #awesome__° https://t.co/W0qwlH6WdR,neil_wilkinson,69.41551983,18.36336415,"Lenvik, Norge",Norge,2016-01-11 19:47:54+00,2,2
"(pos,686691873969274885,686691873969274885)",There's a #northernlights display going on now in #tromso! https://t.co/io7tMFJA2w,NorthLightAlert,69.63831947,18.93524012,"Troms_î, 18",Norway,2016-01-11 23:31:15+00,2,2
"(pos,686699382109003776,686699382109003776)","When waiting for a bus just got a little bit more exciting.. •____ù__îè
#nothernlights #aurora #norway__° https://t.co/MrJItPFdVQ",GerardsWay,69.65167955,18.91310376,"Troms_î, Norge",Norge,2016-01-12 00:01:05+00,2,2
"(pos,686702908893597696,686702908893597696)","Look out the window, #Yellowknife! The #aurora are dancing!",LeaLamoureux,62.44991587,-114.353676,"Yellowknife, 13",Canada,2016-01-12 00:15:06+00,2,2
"(pos,686766167793348608,686766167793348608)",Squiggles from the north pole. Aurora dancing above us. The beauty of this magical light is__° https://t.co/uJsTyxukjz,goodfoodrave,67.93530301,13.06869404,"Moskenes, Norge",Norge,2016-01-12 04:26:28+00,2,2
"(pos,687009569822896128,687009569822896128)",The northern lights are on show tonight! :) #keflavik #sandger__i #iceland #aurora borealis,wheelsandtours,65.73525161,-19.52249808,"Keflav_—k, 41",Iceland,2016-01-12 20:33:40+00,2,2
"(pos,687121883985125376,687121883985125376)",A bit of an arc in Central Alberta moments ago! #aurora #wx #teamtanner @treetanner @TamithaSkov @AuroraNotify https://t.co/w4gOsq1acV,dartanner,52.2824845,-117.4985189,"Alberta, 01",Canada,2016-01-13 03:59:57+00,2,2
"(pos,688419557413879808,688419557413879808)",Pretty pleased with my attempt of photographing the Northern Lights in Iceland! #AuroraBorealis #beautiful https://t.co/fyoiq07sEd,laurajdesigner,64.99218961,-18.0214807,"Republic of Iceland, 00",Iceland,2016-01-16 17:56:27+00,4,2
"(pos,688779150937686017,688779150937686017)",The aurora was kicking off a little while ago. All is peaceful here in Lapland •___ https://t.co/G6cP5lrSg9,Teresacooper,67.73353852,26.49141683,"Lappi, 19",Finland,2016-01-17 17:45:21+00,2,2
"(pos,688848185981321216,688848185981321216)",#auroraborealis always cool over #Iceland . #space #weather #northernlights @russellcrowe #cnnireport #followme rt https://t.co/C0s7X7txMS,dorisig,64.99899639,-18.00781875,"Republic of Iceland, 00",Iceland,2016-01-17 22:19:40+00,2,2
"(pos,688864093386739712,688864093386739712)","70 degrees #North and -25 C below, and this stunning show. #NorthernLights #Norway #Arctic https://t.co/iWd47Z8MnO",blanchardlibby,61.9855326,9.956842442,"Kingdom of Norway, 00",Norway,2016-01-17 23:22:52+00,2,2
"(pos,688884162846011392,688884162846011392)",The Northern Lights or Aurora Borealis #I_ùù_îèIceland @ Pingvellir National Park https://t.co/KsBvQmtC1M,JeffTjin,64.13700341,-21.94406809,Iceland,_çsland,2016-01-18 00:42:37+00,2,2
"(pos,689241948536844289,689241948536844289)",Now they're just having a small dance off. #northernlights #iceland #seasontours •___ @ Esjan https://t.co/5mqaYz6vQM,elawgrrl,64.20306517,-21.76079597,Iceland,_çsland,2016-01-19 00:24:20+00,2,2
"(pos,689244865671131137,689244865671131137)",We caught the The Northern Lights/Aurora Borealis above Reykjavik tonight? https://t.co/L8IJ87bGzh,JeffTjin,64.12087583,-21.9065789,"Reykjav_—k, 39",Iceland,2016-01-19 00:35:56+00,2,2
"(pos,689250703701880837,689250703701880837)",Took this in my driveway. In downtown Reykjav_—k. I _ùù my new camera! •__ç #Iceland #auroraborealis #northernlights https://t.co/PWoCxftlE2,VedisR,64.99050944,-18.01413025,"Republic of Iceland, 00",Iceland,2016-01-19 00:59:08+00,2,2
"(pos,689277367630446592,689277367630446592)",.@eljakeo30 @dartanner @wwxchaser @KayBeWx @TamithaSkov Faint #aurora ribbon on the Manitoba webcam: https://t.co/LYguDETbcw,TheUmno,54.99709647,-97.0153209,"Manitoba, 03",Canada,2016-01-19 02:45:05+00,2,2
"(pos,689329576850292736,689329576850292736)","AURORAMAX ALERT __Æ An #aurora is now visible above #Yellowknife, Northwest Territories! Watch live: https://t.co/kMY960Gm4S",AuroraMAX,62.43696682,-114.3560149,"Yellowknife, 13",Canada,2016-01-19 06:12:32+00,2,2
"(pos,689686671940431872,689686671940431872)",Bright active #aurora arc over Yellowknife! @AngelBrise67 https://t.co/1yTS1jSO8m https://t.co/yctfQdFJos,TheUmno,62.44944507,-114.3619233,"Yellowknife, 13",Canada,2016-01-20 05:51:31+00,2,2
"(pos,689730628334387200,689730628334387200)",Low faint green #aurora on this N. Maine webcam! Expect it to get better as moon sets. https://t.co/H2IidoCPWi https://t.co/vllPr3XRSi,TheUmno,45.50003332,-69.28019236,"Maine, ME",United States,2016-01-20 08:46:11+00,2,2
"(pos,689841865034625024,689841865034625024)",The #aurora is out over #Anchorage right now! Go look! #northernlights #alaska https://t.co/w1AJiRJCvF,RachaelPenton,61.20165064,-149.9024994,"Anchorage, AK",United States,2016-01-20 16:08:11+00,2,2
"(pos,689857415479726081,689857415479726081)",#aurora visible in #helsinki sky cams right now.,elfsprite,60.15925211,24.92488117,"Helsinki, 01",Finland,2016-01-20 17:09:59+00,2,2
"(pos,689912485634281472,689912485634281472)","@VirtualAstro @bbcskyatnight Massive Aurora out there tonight. Great Glen, Scotland, https://t.co/cwdvWpDmkR",McRU5TY,55.99271977,-4.021782313,"Scotland, SCT",United Kingdom,2016-01-20 20:48:49+00,2,2
"(pos,689916530541359104,689916530541359104)","@NorthLightAlert #AuroraBorealis in perfect position over the mountains 
#Nordlyset #Tromso https://t.co/Own2oFT6Xg",MartinP140387,69.64173775,18.9434055,"Troms_î, 18",Norway,2016-01-20 21:04:53+00,2,2
"(pos,689932378358308864,689932378358308864)",@VirtualAstro Aurora taken from Northumberland tonight. https://t.co/Byue2ybQMS,Timelesslee1,55.2347621,-2.001886432,"Northumberland, ENG",United Kingdom,2016-01-20 22:07:51+00,2,2
"(pos,690002927352745985,690002927352745985)","Live Stream Cams 
Aurora Borealis Now 
https://t.co/1YWajy3qQc 
#northernlights #AuroraBorealis #Manitoba https://t.co/GWIod4kPSu",DancAnyway,54.98424514,-97.02398267,"Manitoba, 03",Canada,2016-01-21 02:48:12+00,2,2
"(pos,690034606553305089,690034606553305089)",With Aurora !!!!!! #selfie #canada #travel #cold #aurora https://t.co/q3dcrnSAgJ https://t.co/lNCKELS3Kh,Claire_cyu,60.09217903,-113.6498057,"Canada, 00",Canada,2016-01-21 04:54:05+00,2,2
"(pos,690037242052677632,690037242052677632)","@TamithaSkov Aurora visible on the Sebec Lake, ME webcam.",robwright11,45.28922581,-69.35122281,"Sebec Lake, ME",United States,2016-01-21 05:04:33+00,2,2
"(pos,690044534668001280,690044534668001280)",Arc of Aurora very high in Central Alberta now! #Aurora #teamtanner @treetanner @TamithaSkov @eljakeo30 https://t.co/0bWLOoS7yA,dartanner,52.28193839,-117.4874625,"Alberta, 01",Canada,2016-01-21 05:33:32+00,2,2
"(pos,690047490637316097,690047490637316097)",Aurora borealis as clear as I've ever seen it in Calgary to the northeast just now,theturner,51.04120133,-114.1130924,"Calgary, 01",Canada,2016-01-21 05:45:16+00,2,2
"(pos,690047578759675904,690047578759675904)",aurora borealis is perfectly visible in Calgary oh my god,EthansTea,51.03945617,-114.0932815,"Calgary, 01",Canada,2016-01-21 05:45:37+00,2,2
