st_y,st_x,country,time,see_aurora
44.49661243,-90.00652662,United States,2015-09-08T02:23:23Z,1
44.49843635,-100.2824717,United States,2015-09-08T02:39:46Z,1
44.2354181,-85.52456298,United States,2015-09-08T02:52:18Z,1
60.09949956,-113.6676465,Canada,2015-09-08T03:00:44Z,1
49.86681511,-97.17647646,Canada,2015-09-08T03:04:55Z,1
47.49925061,-100.018257,United States,2015-09-08T03:15:04Z,1
43.15171098,-77.63442764,United States,2015-09-08T03:16:30Z,1
54.9925874,-97.00122323,Canada,2015-09-08T03:21:59Z,1
45.18491772,-91.56285066,United States,2015-09-08T03:22:53Z,1
49.86575465,-97.14260157,Canada,2015-09-08T03:30:48Z,1
54.98637125,-97.03137361,Canada,2015-09-08T03:59:26Z,1
54.99685015,-97.00188154,Canada,2015-09-08T04:35:49Z,1
55.97841329,-4.022886807,United Kingdom,2015-09-08T04:38:53Z,1
49.76839004,-97.17119242,Canada,2015-09-08T04:50:00Z,1
51.04091772,-114.1001243,Canada,2015-09-08T05:10:42Z,1
50.64443334,-104.6393581,Canada,2015-09-09T03:50:17Z,1
50.6737764,-104.591358,Canada,2015-09-09T04:13:28Z,1
54.996527,-97.02486671,Canada,2015-09-09T04:55:12Z,1
46.24565916,-94.26363369,United States,2015-09-09T05:27:11Z,1
44.48705848,-100.2517433,United States,2015-09-09T05:36:41Z,1
50.66671428,-104.596721,Canada,2015-09-09T05:45:32Z,1
44.4798705,-90.01660238,United States,2015-09-09T06:00:03Z,1
46.2468423,-94.26230782,United States,2015-09-09T06:00:28Z,1
47.58588946,-122.3543756,United States,2015-09-09T06:04:49Z,1
45.43111061,-93.54508306,United States,2015-09-09T06:15:57Z,1
60.08909907,-113.6562899,Canada,2015-09-09T06:34:59Z,1
50.49666267,-104.6752941,Canada,2015-09-09T08:48:59Z,1
63.41473956,10.37727713,Norge,2015-09-09T20:30:25Z,1
52.64930164,0.999920191,United Kingdom,2015-09-09T20:30:30Z,1
55.99036662,-4.005843588,United Kingdom,2015-09-09T20:33:18Z,1
61.98511636,9.993751981,Norway,2015-09-09T21:39:22Z,1
60.17975166,11.0917474,Norway,2015-09-10T18:18:59Z,1
65.20081819,25.92864711,Finland,2015-09-10T19:35:52Z,1
45.2321445,-80.76880301,Canada,2015-09-11T04:26:41Z,1
60.1006506,-113.6509418,Canada,2015-09-11T05:14:03Z,1
50.50282807,-104.6895726,Canada,2015-09-11T05:19:58Z,1
61.20661638,-149.9313175,United States,2015-09-11T13:52:36Z,1
44.48241783,-90.0232979,United States,2015-09-12T04:50:17Z,1
53.99512875,-106.0351454,Canada,2015-09-12T05:03:44Z,1
49.23186874,-84.5186358,Canada,2015-09-15T01:32:21Z,1
44.23543032,-85.51998497,United States,2015-09-15T01:41:39Z,1
61.21460357,-149.9181552,United States,2015-09-20T07:34:30Z,1
52.27010068,-117.4936142,Canada,2015-09-22T03:59:43Z,1
61.20032319,-149.9105055,United States,2015-09-22T08:02:10Z,1
69.62826764,18.92655498,Norway,2015-09-23T17:26:35Z,1
55.98727299,-4.006250016,United Kingdom,2015-10-01T22:36:53Z,1
53.53086881,-113.4895691,Canada,2015-10-02T03:31:09Z,1
50.72593628,-104.6427086,Canada,2015-10-02T05:09:07Z,1
52.25970874,-117.4963415,Canada,2015-10-04T04:36:01Z,1
50.26808481,-119.3009168,Canada,2015-10-04T06:09:38Z,1
53.52802965,-113.4228632,Canada,2015-10-04T06:13:56Z,1
50.52542989,-104.6382462,Canada,2015-10-07T04:39:38Z,1
45.19550414,-91.5799794,United States,2015-10-07T04:45:45Z,1
49.22721289,-84.5108498,Canada,2015-10-07T04:57:33Z,1
50.616115,-104.5780097,Canada,2015-10-07T05:00:36Z,1
63.99459701,25.97110371,Finland,2015-10-07T17:37:46Z,1
63.99070718,25.99395178,Finland,2015-10-07T18:09:27Z,1
63.38461987,10.28876975,Norge,2015-10-07T18:23:57Z,1
63.98810726,25.99541196,Finland,2015-10-07T18:37:16Z,1
60.52530236,22.33018695,Finland,2015-10-07T18:49:57Z,1
55.9650629,13.34420858,Sverige,2015-10-07T18:51:23Z,1
